City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,altea,38.5989,-0.0514,15.99,63,2,3.9,ES,04/02/2023
321,santiago del estero,-27.7951,-64.2615,23.95,73,93,1.68,AR,04/02/2023
322,kanlagay,5.8757,121.2915,26.27,82,99,2.54,PH,04/02/2023
323,halifax,44.6453,-63.5724,6.0,39,5,9.77,CA,04/02/2023
324,ekhabi,53.5102,142.9671,-1.59,88,100,3.09,RU,04/02/2023
325,lavumisa,-27.31,31.892,19.19,98,5,1.8,SZ,04/02/2023
326,bolama,11.5833,-15.4667,26.19,77,1,6.65,GW,04/02/2023
327,tornio,65.8481,24.1466,-12.99,96,17,1.61,FI,04/02/2023
328,severo-kurilsk,50.6789,156.125,-0.01,86,99,6.84,RU,04/02/2023
329,oistins,13.0667,-59.5333,28.05,65,20,9.77,BB,04/02/2023
330,torrington,41.8007,-73.1212,8.3,31,4,1.79,US,04/02/2023
331,alpena,45.0617,-83.4327,6.18,49,75,4.63,US,04/02/2023
332,quang ngai,15.1167,108.8,22.54,92,70,1.92,VN,04/02/2023
333,moorhead,46.8739,-96.7676,4.98,75,0,4.12,US,04/02/2023
334,huangpu,25.4433,113.1747,20.61,98,99,1.72,CN,04/02/2023
335,ludvika,60.1496,15.1878,-3.15,96,11,1.27,SE,04/02/2023
336,silvan,38.1419,41.0081,6.16,70,100,1.18,TR,04/02/2023
337,hirara,24.8,125.2833,18.92,77,20,3.6,JP,04/02/2023
338,kilindoni,-7.9139,39.6668,27.69,79,85,5.71,TZ,04/02/2023
339,labuhan,-6.8844,112.2051,23.26,88,100,3.66,ID,04/02/2023
340,yabelo,4.8833,38.0833,16.96,78,96,1.44,ET,04/02/2023
341,mount gambier,-37.8333,140.7667,9.94,85,1,1.29,AU,04/02/2023
342,yulara,-25.2406,130.9889,21.49,46,83,3.45,AU,04/02/2023
343,bagdarin,54.4333,113.6,-11.15,65,100,4.11,RU,04/02/2023
344,spring valley,36.108,-115.245,24.97,17,40,8.75,US,04/02/2023
